epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,77301,0.21187,0.23861,1.00804,0.98269,0.99219,0.99181,0.88826,0.48198,0.33892,0.91541,0.000973861,0.000973861,0.000973861
44,79078.5,0.20222,0.24049,1.00464,0.99302,0.99889,0.995,0.87089,0.45071,0.30024,0.85913,0.000957358,0.000957358,0.000957358
45,80855.1,0.20152,0.23276,1.00294,0.98799,0.99562,0.995,0.89275,0.43439,0.29444,0.87408,0.000940855,0.000940855,0.000940855
46,82632.4,0.2187,0.24137,1.01309,0.99633,0.99947,0.995,0.90433,0.45161,0.28465,0.85452,0.000924352,0.000924352,0.000924352
47,84410.8,0.20824,0.22776,1.00157,0.99158,1,0.995,0.88803,0.48913,0.2895,0.95577,0.000907848,0.000907848,0.000907848
48,86188.5,0.20547,0.2304,1.00219,0.99821,0.99219,0.99478,0.90265,0.44057,0.30748,0.84922,0.000891345,0.000891345,0.000891345
49,87966.8,0.20282,0.2254,1.00144,0.99809,1,0.995,0.89886,0.43455,0.27954,0.84692,0.000874842,0.000874842,0.000874842
50,89743.4,0.19189,0.22462,0.99185,0.99322,0.99994,0.995,0.90493,0.39827,0.24965,0.78834,0.000858338,0.000858338,0.000858338
51,91519.6,0.19686,0.21035,0.99759,0.99784,1,0.995,0.90346,0.44268,0.32679,0.85728,0.000841835,0.000841835,0.000841835
52,93296.8,0.18782,0.21642,0.99484,0.99843,0.99983,0.995,0.90598,0.41378,0.26153,0.80773,0.000825332,0.000825332,0.000825332
53,95073.3,0.19455,0.22422,0.99655,0.99922,1,0.995,0.89951,0.44363,0.26513,0.86392,0.000808828,0.000808828,0.000808828
54,96850.7,0.19681,0.21044,0.99048,0.98522,0.99943,0.995,0.92018,0.39061,0.24958,0.78701,0.000792325,0.000792325,0.000792325
55,98628,0.19134,0.21205,0.99999,0.99788,1,0.995,0.91465,0.42659,0.2454,0.82755,0.000775822,0.000775822,0.000775822
56,100407,0.19311,0.22093,0.99416,0.99969,0.99744,0.995,0.91201,0.41586,0.33962,0.80812,0.000759318,0.000759318,0.000759318
57,102185,0.18381,0.20868,0.9898,0.99272,0.99917,0.99495,0.90569,0.39945,0.26108,0.76315,0.000742815,0.000742815,0.000742815
58,103962,0.17378,0.20797,0.98727,0.99906,1,0.995,0.92016,0.37405,0.2035,0.76723,0.000726312,0.000726312,0.000726312
59,105738,0.18386,0.20056,0.98789,0.99851,1,0.995,0.92493,0.35823,0.1955,0.73886,0.000709809,0.000709809,0.000709809
60,107516,0.17967,0.20808,0.98591,0.9985,1,0.995,0.92092,0.38195,0.23062,0.76058,0.000693305,0.000693305,0.000693305
61,109294,0.18878,0.21351,0.99116,0.99902,0.99542,0.995,0.90025,0.38106,0.24386,0.74156,0.000676802,0.000676802,0.000676802
62,111072,0.17566,0.20108,0.98434,0.99813,1,0.995,0.89694,0.39746,0.21467,0.75637,0.000660299,0.000660299,0.000660299
63,112850,0.17753,0.19839,0.98269,0.99712,1,0.995,0.90253,0.39958,0.24503,0.75656,0.000643795,0.000643795,0.000643795
64,114627,0.17757,0.20008,0.98867,0.99866,1,0.995,0.91484,0.38628,0.24391,0.76431,0.000627292,0.000627292,0.000627292
65,116404,0.17637,0.20276,0.98673,0.99866,1,0.995,0.89148,0.41759,0.27037,0.78835,0.000610789,0.000610789,0.000610789
66,118182,0.17898,0.19903,0.9804,0.99603,0.99951,0.995,0.90448,0.39977,0.2374,0.76398,0.000594286,0.000594286,0.000594286
67,119960,0.16042,0.18868,0.97858,0.99849,1,0.995,0.91521,0.39734,0.26064,0.75574,0.000577782,0.000577782,0.000577782
68,121737,0.17945,0.19426,0.98712,0.99687,0.99946,0.995,0.90561,0.39551,0.24576,0.74028,0.000561279,0.000561279,0.000561279
69,123516,0.17468,0.19058,0.98963,0.99533,1,0.995,0.88728,0.44897,0.29496,0.81595,0.000544776,0.000544776,0.000544776
70,125293,0.16625,0.18814,0.97782,0.99552,1,0.995,0.86537,0.46992,0.27266,0.85599,0.000528272,0.000528272,0.000528272
71,127071,0.17112,0.18975,0.98196,0.99901,0.99219,0.99478,0.91132,0.38741,0.27606,0.75942,0.000511769,0.000511769,0.000511769
72,128847,0.17177,0.18892,0.97979,0.99837,1,0.995,0.91633,0.44042,0.29692,0.85164,0.000495266,0.000495266,0.000495266
73,130625,0.15873,0.18448,0.97887,0.99494,0.99894,0.995,0.88359,0.4188,0.29745,0.78776,0.000478762,0.000478762,0.000478762
74,132404,0.15661,0.1856,0.97947,0.99872,1,0.995,0.89775,0.46898,0.28008,0.85241,0.000462259,0.000462259,0.000462259
75,134181,0.16139,0.17911,0.97639,0.99516,0.99502,0.995,0.90071,0.43509,0.2813,0.78025,0.000445756,0.000445756,0.000445756
76,135958,0.16579,0.19327,0.97594,0.99701,1,0.995,0.88399,0.45795,0.27857,0.85877,0.000429253,0.000429253,0.000429253
